feature,pos_df,bg_df,pos_rate,bg_rate,lift,log_odds
#iheartawards,25,2990,0.00039729,0.00030175,1.3166,0.2948
#covid,8,1151,0.00012713,0.00011616,1.0945,0.1505
#hiv,12,1693,0.0001907,0.00017086,1.1161,0.1504
#germany,10,1510,0.00015892,0.00015239,1.0428,0.0904
#1,75,11029,0.00119188,0.00111305,1.0708,0.0751
#russia,19,3018,0.00030194,0.00030458,0.9913,0.0171
#fallontonight,74,14271,0.00117598,0.00144023,0.8165,-0.1963
#defi,5,1075,7.946e-05,0.00010849,0.7324,-0.2166
#nbaallstar,12,2486,0.0001907,0.00025089,0.7601,-0.2338
#stockmarket,7,1613,0.00011124,0.00016278,0.6834,-0.3121
#solana,11,2511,0.00017481,0.00025341,0.6898,-0.3272
#probowlvote,13,3173,0.00020659,0.00032022,0.6452,-0.4008
#mentalhealth,5,1296,7.946e-05,0.00013079,0.6075,-0.4035
#investing,8,2095,0.00012713,0.00021143,0.6013,-0.4484
#climatechange,5,1383,7.946e-05,0.00013957,0.5693,-0.4685
#bitcoin,151,39726,0.00239964,0.00400916,0.5985,-0.5116
#gaza,6,1888,9.535e-05,0.00019054,0.5004,-0.6126
#russian,11,3554,0.00017481,0.00035867,0.4874,-0.6746
#ukraine,20,6664,0.00031783,0.00067253,0.4726,-0.7253
#dallascowboys,14,5540,0.00022248,0.0005591,0.3979,-0.8868
#covid19,49,19852,0.00077869,0.00200347,0.3887,-0.9361
#crypto,47,20294,0.00074691,0.00204808,0.3647,-0.9995
#ethereum,9,4923,0.00014303,0.00049683,0.2879,-1.1916
#btc,12,19151,0.0001907,0.00193272,0.0987,-2.2769
#es_f,5,9275,7.946e-05,0.00093604,0.0849,-2.372
