feature,pos_df,bg_df,pos_rate,bg_rate,lift,log_odds
summer revealed,12,3,0.0001907,3e-07,627.8005,6.3324
mail ballots,266,76,0.00422719,7.67e-06,551.0652,6.3115
ahead presidential,71,20,0.00112831,2.02e-06,558.734,6.3096
shutdown history,43,12,0.00068334,1.21e-06,563.7945,6.3069
lost presidential,22,6,0.00034962,6.1e-07,576.4312,6.3013
november general,22,6,0.00034962,6.1e-07,576.4312,6.3013
after midterm,46,13,0.00073102,1.31e-06,556.7698,6.2967
wisconsin senate,15,4,0.00023838,4e-07,589.0471,6.2962
elections per,18,5,0.00028605,5e-07,565.7645,6.2725
bill approved,18,5,0.00028605,5e-07,565.7645,6.2725
amid government,38,11,0.00060388,1.11e-06,543.4906,6.2681
before midterm,51,15,0.00081048,1.51e-06,535.0374,6.2608
california senate,31,9,0.00049264,9.1e-07,541.7933,6.2584
governor secretary,11,3,0.00017481,3e-07,575.4841,6.249
governor desk,11,3,0.00017481,3e-07,575.4841,6.249
voted senate,11,3,0.00017481,3e-07,575.4841,6.249
november iraqi,11,3,0.00017481,3e-07,575.4841,6.249
watch election,24,7,0.0003814,7.1e-07,539.1275,6.2434
shutdown looms,40,12,0.00063567,1.21e-06,524.4601,6.2354
senate expected,14,4,0.00022248,4e-07,549.7775,6.2295
shutdown senate,14,4,0.00022248,4e-07,549.7775,6.2295
