feature,pos_df,bg_df,pos_rate,bg_rate,lift,log_odds
appointed,260,2995,0.00413184,0.00030226,13.6699,2.6208
rnc,126,1453,0.00200235,0.00014664,13.6551,2.6196
jeffries,84,972,0.0013349,9.809e-05,13.6082,2.6173
susan,117,1354,0.00185933,0.00013665,13.6068,2.6162
ivf,46,536,0.00073102,5.409e-05,13.5138,2.6143
conspired,23,271,0.00036551,2.735e-05,13.364,2.6126
enacted,67,780,0.00106474,7.872e-05,13.5259,2.6124
counters,21,248,0.00033373,2.503e-05,13.3335,2.6121
kathy,63,734,0.00100118,7.408e-05,13.5155,2.612
rosen,24,283,0.0003814,2.856e-05,13.3537,2.611
conspirators,22,260,0.00034962,2.624e-05,13.3237,2.6104
appointing,35,411,0.00055621,4.148e-05,13.4094,2.6095
endorsements,46,539,0.00073102,5.44e-05,13.4386,2.6087
romney,95,1109,0.00150971,0.00011192,13.489,2.6081
seanspicer,48,563,0.0007628,5.682e-05,13.4251,2.6073
droz,20,238,0.00031783,2.402e-05,13.2321,2.6056
joni,20,238,0.00031783,2.402e-05,13.2321,2.6056
designate,32,378,0.00050853,3.815e-05,13.3303,2.6047
oval,141,1651,0.00224073,0.00016662,13.4481,2.6041
opposition,656,7739,0.01042494,0.00078102,13.3478,2.6017
johnfetterman,23,274,0.00036551,2.765e-05,13.2176,2.6016
vigilantes,20,239,0.00031783,2.412e-05,13.1767,2.6014
upheld,48,567,0.0007628,5.722e-05,13.3304,2.6002
resounding,25,298,0.00039729,3.007e-05,13.21,2.5995
majority,1299,15521,0.0206433,0.00156638,13.1789,2.5983
sen_joemanchin,34,404,0.00054032,4.077e-05,13.2519,2.598
reinstate,37,441,0.00058799,4.451e-05,13.2113,2.5939
hochul,61,726,0.00096939,7.327e-05,13.2306,2.5909
nec,32,384,0.00050853,3.875e-05,13.122,2.589
