rank,username,followers,eligible,sim_raw,eng_raw,sim_norm,eng_norm,spam_ratio,rt_ratio,core_hit_ratio,score,error
145,ericschmidt,2035970,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
146,jack,6331348,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
147,SCClemons,38131,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
148,FinancialTimes,7062562,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
149,gideonrachman,119130,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
150,KenRoth,600863,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
151,jacobwe,38666,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
152,RoKhanna,405883,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
153,davidshor,80955,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
154,NellieBowles,96980,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
155,ChristopherJM,388610,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
156,rcallimachi,299494,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
157,mattduss,70864,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
158,carlbildt,727818,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
159,POTUS45,30177461,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
160,Peston,1262224,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
161,jeremycorbyn,2522158,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
162,10DowningStreet,5657110,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
163,elerianm,799895,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
164,maxseddon,353038,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
165,DouthatNYT,213635,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
166,sunraysunray,90114,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
167,AJEnglish,9061566,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
168,ninaturner,618599,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
169,haaretzcom,563322,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
170,JDVance,5116174,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
171,GlennThrush,276974,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
172,ktumulty,162249,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
173,SteveKornacki,628500,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
174,KFILE,388038,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
175,Fahrenthold,686154,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
176,PeteButtigieg,3758786,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
177,WhiteHouse45,22852568,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
178,Peggynoonannyc,196969,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
179,David_Gergen,147162,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
180,wolfblitzer,1671023,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
181,StateDept,6583306,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
182,stevenacook,51158,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
183,CrisisGroup,233094,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
184,thehill,4215687,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
185,ariannahuff,2431542,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
186,WIRED,9054536,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
187,TheDailyShow,8617618,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
188,AdamMGrant,871057,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
