rank,username,followers,eligible,sim_raw,eng_raw,sim_norm,eng_norm,spam_ratio,rt_ratio,score,error
604,BobbyMarks42,312880,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
605,RealMichaelKay,328102,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
606,RB_Mrs,45042,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_threshold
607,Ben_ESPN,9412,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_threshold
608,KlutchSports,86430,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_threshold
609,Katie_George05,47859,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,followers_below_threshold
610,gregolsen88,481599,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
611,mikegolicjr,267493,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
612,markwahlberg,3642923,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
613,colincowherd,1570163,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
